UDG ID,log_10(M*),log_10(Mgas),log_10(Mbary),log_10(Mdyn),Mg,Tidal index Θ,log_10(M*/Mgas),log_10(M*/Mdyn),log_10(Mbary/Mdyn),AM star,AM DM,β_*,σ_z/σ_r,σ_θ/σ_r,class
551190,10.40381245,10.67721668,10.86271314,11.78619657,-20.9457,1.677820597,-0.2734042284,-1.382384114,-0.9234834251,319.7109,1003.988285,0.3696145353,0.7131154559,0.8595363061,2
551541,10.15771942,10.88153379,10.95667175,11.83617787,-20.7494,3.314554361,-0.7238143719,-1.678458454,-0.8795061159,264.678363,1879.178921,0.2784605011,0.6176946466,0.9923208303,2
558067,10.29134236,10.8056524,10.9215882,11.8624437,-21.0011,3.384932729,-0.5143100435,-1.57110134,-0.9408554931,472.8842024,2369.927742,0.5163374965,0.5823264254,0.7226956944,2
564268,10.41753538,10.59638152,10.81713041,11.73997499,-20.6404,1.665597913,-0.1788461358,-1.322439611,-0.9228445798,284.9732005,452.5056182,-0.6805511587,0.7829872601,0.8793290669,2
577719,10.38185575,10.60334278,10.80759844,11.74963795,-20.7696,1.651631908,-0.2214870305,-1.367782203,-0.9420395098,597.8796508,330.7569916,0.2731959273,0.7625424253,0.9055812327,2
580250,10.50820058,10.66250966,10.89320281,11.76553023,-21.1326,1.655371749,-0.1543090782,-1.257329651,-0.8723274252,1234035.636,218084.6149,0.451520554,0.5240703509,0.7049690894,2
580406,10.50928846,10.55539678,10.83398423,11.69820673,-20.6325,1.719501007,-0.04610831777,-1.188918269,-0.8642224959,427.1280922,530.6441088,0.5754644407,0.5518687614,0.6574250965,2
586836,10.25966785,10.17986258,10.52262574,11.5758469,-19.4718,1.864729202,0.07980527004,-1.316179052,-1.053221153,258.6877397,461.1122097,-0.69470908,0.7637318304,0.92370615,2
588399,10.34511743,9.931578488,10.4868455,11.80422293,-19.5193,1.670018214,0.4135389394,-1.459105505,-1.31737743,64.79401082,221.8760916,-0.08103134991,0.8261004438,0.896844411,2
590218,10.39016958,10.58751007,10.80098347,11.73756883,-20.6494,1.619521732,-0.1973404862,-1.347399249,-0.9365853592,695.5976956,709.5735527,0.5190810072,0.5366747425,0.7985246828,2
623877,10.20507127,10.42535217,10.63006076,11.4698354,-20.3521,1.688816257,-0.2202808978,-1.264764127,-0.8397746383,320.0299705,214.959472,0.6337625685,0.5760299901,0.6238230247,2
642671,10.18005416,9.551919347,10.27187295,11.44475376,-19.2335,1.52979775,0.6281348088,-1.264699602,-1.172880813,57.84887758,209.3487793,0.2501131881,0.7393594889,0.9081615668,2
669546,8.65259518,9.076059874,9.215046925,10.53434165,-16.7585,-1.206298548,-0.4234646944,-1.881746475,-1.31929473,10.60831861,52.34171402,0.09478836992,0.8532158104,0.9725556464,3
671157,8.348631169,9.179764715,9.239526978,10.25991815,-16.6303,-0.2941761939,-0.8311335453,-1.911286984,-1.020391176,15.08086063,73.39266461,0.1905153016,0.6812578972,0.8649518254,3
677438,8.248363443,9.080464547,9.140102542,10.30036694,-15.6863,-0.8140899191,-0.8321011042,-2.052003501,-1.160264402,2.31015674,25.6943504,-0.03739442015,1.085862545,1.033742113,3
679172,8.335155759,8.32427076,8.630777357,9.25167969,-16.9547,-0.4249933463,0.01088499854,-0.9165239315,-0.6209023338,0.9096334533,1.877406256,0.02779700874,1.114470383,1.048645866,3
679464,8.248607126,9.383113782,9.413861514,10.40535849,-16.2871,-0.5355806324,-1.134506656,-2.156751364,-0.9914969753,8.046831331,106.0763894,0.1009119926,0.9171691014,1.111733178,3
684589,8.500576375,9.200052618,9.279149532,10.51256653,-16.6364,-0.8173223052,-0.6994762432,-2.011990158,-1.233417001,2.257926033,47.60665522,0.1071127589,0.8988787351,0.9065971629,3
685740,8.521123218,9.343559644,9.404449809,10.45075152,-16.1561,-0.1278483597,-0.8224364255,-1.929628303,-1.046301713,38.71463252,98.42593784,-0.03609618398,0.9538544182,1.020834598,3
691469,8.406080289,8.815949236,8.958702306,10.29090498,-15.9407,-1.437980752,-0.4098689466,-1.884824696,-1.332202679,27.96065082,39.50057113,0.1628521117,0.6958354444,1.016597489,3
