UDG ID,log_10(M*),log_10(Mgas),log_10(Mbary),log_10(Mdyn),Mg,Tidal index Θ,log_10(sSFR),log_10(M*/Mgas),log_10(M*/Mdyn),log_10(Mbary/Mdyn),AM star,AM DM,T_DM,e_DM,f_DM,T_*,e_*,f_*,β_*,σ_z/σ_r,σ_θ/σ_r,V/σ,λRe,h3,h4,class
704691,8.243214269,9.205605699,9.250555144,10.30061061,-16.2082,0.1861983589,-9.750698326,-0.9623914302,-2.057396344,-1.050055469,20.58259852,108.7126557,0.4840472918,0.3579576307,0.3957926467,0.8862899333,0.8267392041,0.5263706362,0.2416217259,0.8120622271,0.8262522141,0.201111,0.174014,0.004005,-0.00146,3
711649,8.243707305,9.025986245,9.092345761,10.41184202,-15.8302,-0.6378107077,-9.922836414,-0.78227894,-2.168134713,-1.319496257,8.250343465,45.31129002,0.3693905024,0.2594912272,0.3510729704,0.8506404449,0.6150033753,0.3268178832,0.05960982053,0.8334621386,0.9679952993,0.209336,0.178474,-0.000564,0.021381,3
713791,8.351523997,9.215693129,9.271346488,9.791155145,-16.6648,-1.358762515,-9.519324949,-0.8641691321,-1.439631147,-0.5198086563,20.44795383,15.38606463,0.3388585008,0.29037007,0.4238544657,0.9030037487,0.8921357986,0.6472154075,0.1951737244,0.906084172,0.9823808407,0.215835,0.17521,-0.000208,0.002334,3
723141,8.589702138,9.390247452,9.454064924,10.59913689,-16.852,-0.3856886862,-9.807051819,-0.8005453134,-2.009434748,-1.145071963,9.469966151,124.0654849,0.2563780906,0.3123401251,0.5599553111,0.9707631256,0.9184915071,0.4030905419,0.09478540676,0.8870488822,0.9736854963,0.325106,0.282493,-0.007102,-0.04937,3
724892,8.631556179,8.940956295,9.1142754,10.37656918,-16.3318,0.103674224,-10.27636719,-0.3094001161,-1.745013002,-1.262293781,9.723355036,72.4962812,0.4470773261,0.3196714918,0.3751911043,0.8946635695,0.7080688845,0.3440662295,0.1210524519,0.8676364917,0.873873729,0.107307,0.066952,-0.008927,-0.143374,3
728385,8.277094559,9.771127959,9.784833001,10.84951355,-16.2263,-0.4432132525,-9.678840414,-1.4940334,-2.572418994,-1.064680552,8.20595199,764.6712446,0.6568971376,0.6509090324,0.6196592059,0.9860000305,0.992309639,0.9552576148,0.167675329,0.8457865243,0.9764756396,0.120423,0.140047,0.020071,-0.15157,3
729106,8.23871597,9.242960489,9.283969019,10.55185287,-15.9907,-1.414290519,-9.790894595,-1.004244519,-2.313136903,-1.267883854,14.00367414,178.8525365,0.2043783646,0.2855694189,0.5879220459,0.9608583987,0.9093537687,0.4411683952,-0.08930389791,0.9330944082,0.9680001274,0.156686,0.126363,-0.017211,-0.189155,3
736805,8.714446454,9.756236184,9.793991672,10.87546748,-16.8754,-1.462095666,-10.12245634,-1.04178973,-2.16102103,-1.081475812,49.13464866,181.8982379,0.5694539127,0.4790921867,0.4745932573,0.9070219559,0.8816744363,0.5982435412,-0.03233628311,0.5827801458,0.8301603185,0.374071,0.205932,0.014215,0.006891,3
750884,8.247736202,9.102670459,9.159444993,9.991677811,-16.2335,-0.2983183583,-9.756009014,-0.8549342566,-1.743941609,-0.832232818,20.39099616,27.20840202,0.187740125,0.2100120348,0.4467947372,0.7297064431,0.6653905196,0.5424918277,0.1196560332,0.8696025286,0.9861281497,0.272201,0.221346,0.01717,-0.122977,3
763264,8.471345894,9.655956552,9.683457681,10.71674169,-16.9745,-0.925675997,-9.513055861,-1.184610657,-2.245395791,-1.033284004,42.9582464,231.9522271,0.1167691487,0.1577427961,0.4393333603,0.9781203293,0.9783230683,0.70657624,0.05140380577,0.8010995882,0.8347964864,0.226857,0.125706,-0.050041,-0.156369,3
